Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Textbox5
1979,6357,3480,11790,15000,65923,235210,414460,404303,176600,75265,32616,5082,1446086
1980,6156,6156,8900,21109,67903,237851,446853,423107,151586,78063,22503,4391,1474578
1981,8964,8278,15483,26804,75907,260397,571302,510227,201982,61304,37964,7911,1786523
1982,5368,5463,9761,20038,57529,237560,529862,513554,196896,65203,18752,6128,1666114
1983,7183,7178,12116,26414,87249,310923,689489,673399,280628,63185,39810,6273,2203847
1984,6468,9255,12067,31817,62456,321531,628414,545651,221746,70526,29100,7672,1946703
1985,4720,5587,12084,36976,91914,296523,487859,423209,142337,61381,36941,3480,1603011
1986,5442,3725,10192,26049,90992,270600,465816,459919,148825,71771,18347,7473,1579151
1987,6541,7118,8354,29332,88708,282364,501229,436118,200384,67647,25070,7872,1660737
1988,6306,8433,10256,25452,79954,290208,583916,508564,204186,75624,18150,6684,1817733
1989,7524,7237,12111,25457,71760,300384,586500,499464,236284,54142,13320,7340,1821523
1990,7286,7738,14021,24443,81628,288607,627322,593055,280411,42362,16718,3146,1986737
1991,4936,8447,10704,24405,82333,300610,646943,643324,286582,71872,9971,6839,2096966
1992,7177,8995,20027,34501,133553,366534,647193,609629,285958,68290,12410,5500,2199767
1993,7080,9402,14808,26675,113148,340288,626668,624559,288356,71304,11216,8200,2141704
1994,8625,6922,17906,26334,114236,327882,666871,595936,309585,62171,8434,8087,2152989
1995,8441,10573,16013,25869,110206,249808,552643,515842,289248,51025,7395,2455,1839518
1996,5227,11058,12934,25388,100027,251397,515064,477618,254310,60231,2589,4962,1720805
1997,6591,8618,11710,16116,64446,209675,517028,517010,281018,53262,15168,8214,1708856
1998,7481,9686,13316,24166,89146,255237,540488,528716,286602,57164,12029,6913,1830944
1999,7050,8371,13788,20112,81002,232339,526595,491717,232246,50378,13484,7522,1684604
2000,8118,8656,12112,20796,86594,243723,514937,522578,231886,59849,11922,7522,1728693
2001,8380,8451,13677,18388,90692,230625,490693,485240,261525,53852,15704,3387,1680614
2002,6171,9065,9097,18887,82027,225695,585823,549161,305959,87651,17819,8334,1905689
2003,9321,17673,12414,31312,97852,370232,490284,261481,235172,107295,20937,10073,1664046
2004,8647,12512,16805,54898,116163,281589,541644,602042,288378,89257,11824,10174,2033933
2005,7444,12496,16490,54609,131566,286605,561774,498836,269149,64658,11848,9626,1925101
2006,10009,10702,12439,23373,100842,324244,587137,493092,287424,87759,16606,10772,1964399
2007,12167,12086,26534,34659,137220,341317,621046,492343,311589,66059,18688,9621,2083329
2008,9324,10966,13850,17129,85554,287059,523881,514317,262782,58605,16544,8016,1808027
2009,9800,11642,10647,21805,102993,327572,603681,541997,325257,49525,15801,10628,2031348
2010,10005,10811,14646,24111,106316,337120,673359,632971,300275,66155,13541,10738,2200048
2011,10887,10911,12243,15747,92755,266283,512494,532718,320813,54356,13797,10560,1853564
2012,10318,10194,12416,32085,112055,313713,630093,604039,356975,54127,16158,9862,2162035
2013,10836,11388,15758,20922,108998,343560,645514,626556,355471,25965,14924,10482,2190374
2014,12111,10242,13214,28667,112187,334074,699650,675119,353497,72694,15706,11367,2338528
2015,12087,14530,18139,48270,134741,414671,689064,579007,351388,71297,19505,13357,2366056
2016,15674,16548,21257,55125,183925,485017,818481,748565,482592,75797,30823,12877,2946681
2017,14690,13802,19336,38323,177787,620962,1009665,908479,389137,84469,15594,13268,3305512
