Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Textbox5
1979,15362,17152,27470,24690,26229,64665,58222,55654,51708,31110,22668,18987,413917
1980,19593,19397,25132,26851,33505,52414,78046,74621,56715,35561,20664,29211,471710
1981,17493,17545,25734,36115,46132,70230,94825,107092,61548,37740,18829,16178,549461
1982,15077,14905,15718,21430,41762,57898,90816,83035,54460,39089,20230,12706,467126
1983,15614,21535,23239,22221,40274,54382,93768,84910,60044,25808,17114,14802,473711
1984,15931,18542,16192,31595,42469,41703,92009,87559,60430,28804,19973,11948,467155
1985,15530,15767,18695,25662,46280,62831,95325,96878,50367,32962,22497,22997,505791
1986,24862,16154,21793,27015,50763,62553,109995,108897,59996,42618,23503,19700,567849
1987,19901,22619,29500,33984,56127,75396,112990,112178,69296,32894,22205,23807,610897
1988,19049,25912,32572,40070,56461,83479,130356,117022,81795,45673,21375,23371,677135
1989,22476,21193,27392,34238,56041,91340,124402,110454,75835,40281,26493,23970,654115
1990,10538,10531,18929,24846,27130,42462,65704,60429,42700,21439,13714,10036,348458
1991,18782,12102,16710,22418,29871,34520,60921,71255,43719,28862,13338,13782,366280
1992,14664,15439,21947,31689,36478,49382,63634,61426,39614,25215,15203,13090,387781
1993,13314,14547,16126,25881,34384,51792,73388,73614,58197,33034,18866,7884,421027
1994,13092,11472,25367,24370,38339,54722,79816,78205,61623,46576,25306,16145,475033
1995,13216,16262,21486,32603,54728,69710,92704,132599,59038,38450,15519,6149,552464
1996,10924,13140,21290,27396,36107,58363,69776,76032,49650,36729,15237,12294,426938
1997,12203,13001,18299,25102,28946,41807,76879,64807,45836,26465,16137,13006,382488
1998,11253,12047,16711,25608,24282,52855,70077,73163,42787,25754,16919,11732,383188
1999,12485,14909,16494,26118,33624,43123,55862,59725,42031,28147,17324,19884,369726
2000,17835,17575,19239,24315,40500,39788,58541,56010,43390,29581,17673,18806,383253
2001,17519,14290,25037,28134,35421,46593,71978,55621,36042,28929,15367,13421,388352
2002,13418,15639,20507,24459,36020,54453,67449,55199,47732,33779,18943,17191,404789
2003,19675,15240,16109,23527,30642,42965,71114,64070,52803,36356,16300,19325,408126
2004,18765,19114,17561,32886,33653,44352,61569,63415,35248,30985,17646,16835,392029
2005,18157,18640,24069,26641,39955,45277,65385,63488,38236,26773,14044,13479,394144
2006,12674,13185,15747,25911,22586,45470,70327,82714,43661,25483,14121,11901,383780
2007,14472,10852,13897,26783,30488,54956,63493,63541,48081,24470,18068,16070,385171
2008,11585,15776,32329,32014,39308,53062,63712,53025,42411,20725,16505,16447,396899
2009,17078,16957,32644,29017,45772,63174,75108,57666,47505,23753,20681,15071,444426
2010,20500,13621,19051,25252,32892,56028,67234,70215,43030,35534,16390,19073,418820
2011,16364,12468,18385,19784,28613,50231,74527,54168,45916,33542,12248,13921,380167
2012,13949,13686,16802,24262,10834,42803,58407,56920,44049,31070,19684,20051,352517
2013,15542,13876,19426,29379,36734,50774,66804,60463,45089,22101,16059,17117,393364
2014,16096,9827,20955,28779,37871,48382,77247,62241,44474,37044,26882,19368,429166
2015,16051,30275,25597,39346,46980,69820,84987,65615,54037,36714,31566,26155,527143
2016,18194,18711,38638,42544,57045,72858,86244,63767,49344,46653,18915,23384,536297
2017,24830,16308,19301,32127,49170,59862,68427,51747,43677,31446,21096,27009,445000
