"","date","temp","dew_pt","hum","wind_spd","wind_gust","dir","vis","pressure","wind_chill","heat_index","precip","precip_rate","precip_total","cond","fog","rain","snow","hail","thunder","tornado"
"1",2017-01-01 00:53:00,27,16,63,16.1,24.2,"SW",10,29.79,14.7,NA,NA,NA,NA,"Clear",0,0,0,0,0,0
"2",2017-01-01 01:53:00,26.1,16,66,11.5,NA,"SW",10,29.81,15.6,NA,NA,NA,NA,"Clear",0,0,0,0,0,0
"3",2017-01-01 02:53:00,26.1,16,66,10.4,NA,"SW",10,29.84,16.2,NA,NA,NA,NA,"Clear",0,0,0,0,0,0
"4",2017-01-01 03:53:00,25,16,69,9.2,NA,"WSW",10,29.86,15.5,NA,NA,NA,NA,"Clear",0,0,0,0,0,0
"5",2017-01-01 04:53:00,24.1,16,71,6.9,NA,"WSW",10,29.88,16,NA,NA,NA,NA,"Clear",0,0,0,0,0,0
"6",2017-01-01 05:53:00,23,15.1,72,6.9,NA,"West",10,29.9,14.7,NA,NA,NA,NA,"Clear",0,0,0,0,0,0
"7",2017-01-01 06:53:00,21.9,15.1,75,5.8,NA,"WSW",10,29.94,14.5,NA,NA,NA,NA,"Mostly Cloudy",0,0,0,0,0,0
"8",2017-01-01 07:53:00,21,15.1,78,4.6,NA,"SW",10,29.97,14.6,NA,NA,NA,NA,"Mostly Cloudy",0,0,0,0,0,0
"9",2017-01-01 08:26:00,21,15.1,78,5.8,NA,"SSW",10,29.95,13.4,NA,NA,NA,NA,"Scattered Clouds",0,0,0,0,0,0
"10",2017-01-01 08:34:00,21,15.1,78,5.8,NA,"SSW",10,29.95,13.4,NA,NA,NA,NA,"Mostly Cloudy",0,0,0,0,0,0
"11",2017-01-01 08:41:00,21.9,15.1,75,6.9,NA,"SSW",10,29.96,13.4,NA,NA,NA,NA,"Partly Cloudy",0,0,0,0,0,0
"12",2017-01-01 08:53:00,21.9,16,78,5.8,NA,"WSW",10,30,14.5,NA,NA,NA,NA,"Partly Cloudy",0,0,0,0,0,0
"13",2017-01-01 09:53:00,25,17.1,72,5.8,NA,"West",10,30.03,18.1,NA,NA,NA,NA,"Clear",0,0,0,0,0,0
"14",2017-01-01 10:53:00,27,17.1,66,4.6,NA,"NW",10,30.06,21.6,NA,NA,NA,NA,"Clear",0,0,0,0,0,0
"15",2017-01-01 11:37:00,30,18,61,4.6,NA,"North",10,30.01,25.2,NA,NA,NA,NA,"Mostly Cloudy",0,0,0,0,0,0
"16",2017-01-01 11:53:00,28.9,17.1,61,3.5,NA,"Variable",10,30.05,25.2,NA,NA,NA,NA,"Overcast",0,0,0,0,0,0
"17",2017-01-01 12:53:00,28.9,17.1,61,5.8,NA,"NNE",10,30.04,22.8,NA,NA,NA,NA,"Overcast",0,0,0,0,0,0
"18",2017-01-01 13:27:00,30,17.1,59,5.8,NA,"NNE",10,30,24.1,NA,NA,NA,NA,"Scattered Clouds",0,0,0,0,0,0
"19",2017-01-01 13:53:00,30,17.1,59,9.2,NA,"NE",10,30.04,21.7,NA,NA,NA,NA,"Mostly Cloudy",0,0,0,0,0,0
"20",2017-01-01 14:04:00,30,17.1,59,5.8,NA,"East",10,30.02,24.1,NA,NA,NA,NA,"Scattered Clouds",0,0,0,0,0,0
"21",2017-01-01 14:53:00,28.9,17.1,61,6.9,NA,"ENE",10,30.06,21.9,NA,NA,NA,NA,"Partly Cloudy",0,0,0,0,0,0
"22",2017-01-01 15:53:00,28.9,16,58,6.9,NA,"ENE",10,30.08,21.9,NA,NA,NA,NA,"Clear",0,0,0,0,0,0
"23",2017-01-01 16:53:00,28,16,61,4.6,NA,"East",10,30.1,22.8,NA,NA,NA,NA,"Clear",0,0,0,0,0,0
"24",2017-01-01 17:53:00,27,16,63,4.6,NA,"ENE",10,30.12,21.6,NA,NA,NA,NA,"Clear",0,0,0,0,0,0
"25",2017-01-01 18:53:00,28,17.1,63,5.8,NA,"ENE",10,30.13,21.7,NA,NA,NA,NA,"Partly Cloudy",0,0,0,0,0,0
"26",2017-01-01 19:53:00,28,17.1,63,4.6,NA,"ENE",10,30.14,22.8,NA,NA,NA,NA,"Partly Cloudy",0,0,0,0,0,0
"27",2017-01-01 20:53:00,27,17.1,66,8.1,NA,"ENE",10,30.13,18.7,NA,NA,NA,NA,"Overcast",0,0,0,0,0,0
"28",2017-01-01 21:53:00,28,17.1,63,6.9,NA,"East",10,30.12,20.8,NA,NA,NA,NA,"Overcast",0,0,0,0,0,0
