"","date","temp","dew_pt","hum","wind_spd","wind_gust","dir","vis","pressure","wind_chill","heat_index","precip","precip_rate","precip_total","cond","fog","rain","snow","hail","thunder","tornado"
"1",2016-01-01 00:53:00,33.1,18,54,19.6,NA,"East",10,30.49,21.5,NA,NA,NA,NA,"Clear",0,0,0,0,0,0
"2",2016-01-01 01:53:00,33.1,19,56,21.9,NA,"East",10,30.49,20.9,NA,NA,NA,NA,"Clear",0,0,0,0,0,0
"3",2016-01-01 02:53:00,33.1,18,54,21.9,34.5,"East",10,30.48,20.9,NA,NA,NA,NA,"Clear",0,0,0,0,0,0
"4",2016-01-01 03:53:00,32,17.1,54,28.8,36.8,"East",10,30.46,17.9,NA,NA,NA,NA,"Clear",0,0,0,0,0,0
"5",2016-01-01 04:53:00,32,17.1,54,27.6,40.3,"East",10,30.45,18.1,NA,NA,NA,NA,"Clear",0,0,0,0,0,0
"6",2016-01-01 05:53:00,32,17.1,54,31.1,44.9,"East",10,30.45,17.4,NA,NA,NA,NA,"Clear",0,0,0,0,0,0
"7",2016-01-01 06:53:00,32,17.1,54,27.6,40.3,"East",10,30.45,18.1,NA,NA,NA,NA,"Partly Cloudy",0,0,0,0,0,0
"8",2016-01-01 07:53:00,30.9,17.1,57,23,29.9,"East",10,30.45,17.8,NA,NA,NA,NA,"Partly Cloudy",0,0,0,0,0,0
"9",2016-01-01 08:53:00,32,18,56,23,31.1,"East",10,30.45,19.2,NA,NA,NA,NA,"Partly Cloudy",0,0,0,0,0,0
"10",2016-01-01 09:53:00,34,18,52,20.7,29.9,"East",10,30.45,22.4,NA,NA,NA,NA,"Partly Cloudy",0,0,0,0,0,0
"11",2016-01-01 10:53:00,36,18,48,25.3,35.7,"East",10,30.44,23.9,NA,NA,NA,NA,"Partly Cloudy",0,0,0,0,0,0
"12",2016-01-01 11:53:00,36,18,48,25.3,35.7,"East",10,30.41,23.9,NA,NA,NA,NA,"Partly Cloudy",0,0,0,0,0,0
"13",2016-01-01 12:53:00,37,17.1,44,26.5,35.7,"East",10,30.38,25.1,NA,NA,NA,NA,"Partly Cloudy",0,0,0,0,0,0
"14",2016-01-01 13:53:00,37,17.1,44,23,33.4,"East",10,30.38,25.9,NA,NA,NA,NA,"Partly Cloudy",0,0,0,0,0,0
"15",2016-01-01 14:53:00,36,17.1,46,31.1,38,"East",10,30.38,22.8,NA,NA,NA,NA,"Partly Cloudy",0,0,0,0,0,0
"16",2016-01-01 15:53:00,35.1,18,50,25.3,31.1,"East",10,30.37,22.7,NA,NA,NA,NA,"Partly Cloudy",0,0,0,0,0,0
"17",2016-01-01 16:53:00,33.1,18,54,20.7,31.1,"East",10,30.36,21.2,NA,NA,NA,NA,"Partly Cloudy",0,0,0,0,0,0
"18",2016-01-01 17:53:00,32,18,56,19.6,31.1,"East",10,30.33,20.1,NA,NA,NA,NA,"Clear",0,0,0,0,0,0
"19",2016-01-01 18:53:00,33.1,17.1,52,26.5,32.2,"East",10,30.32,19.8,NA,NA,NA,NA,"Clear",0,0,0,0,0,0
"20",2016-01-01 19:53:00,33.1,18,54,29.9,38,"East",10,30.28,19.1,NA,NA,NA,NA,"Clear",0,0,0,0,0,0
"21",2016-01-01 20:53:00,33.1,17.1,52,27.6,41.4,"East",10,30.27,19.6,NA,NA,NA,NA,"Clear",0,0,0,0,0,0
"22",2016-01-01 21:53:00,32,17.1,54,31.1,38,"East",10,30.27,17.4,NA,NA,NA,NA,"Clear",0,0,0,0,0,0
"23",2016-01-01 22:53:00,32,17.1,54,23,27.6,"ESE",10,30.3,19.2,NA,NA,NA,NA,"Clear",0,0,0,0,0,0
"24",2016-01-01 23:53:00,30.9,17.1,57,28.8,38,"ESE",10,30.31,16.4,NA,NA,NA,NA,"Clear",0,0,0,0,0,0
"25",2016-01-02 00:53:00,30.9,16,54,25.3,36.8,"ESE",10,30.29,17.2,NA,NA,NA,NA,"Clear",0,0,0,0,0,0
"26",2016-01-02 01:53:00,30,17.1,59,32.2,39.1,"East",10,30.28,14.5,NA,NA,NA,NA,"Clear",0,0,0,0,0,0
"27",2016-01-02 02:53:00,30,16,56,27.6,42.6,"East",10,30.26,15.4,NA,NA,NA,NA,"Clear",0,0,0,0,0,0
"28",2016-01-02 03:53:00,30,16,56,27.6,36.8,"East",10,30.24,15.4,NA,NA,NA,NA,"Clear",0,0,0,0,0,0
